codigoestacion,fecha,departamento,valorobservado,nombreestacion,latitud,longitud
15035020,2020-02-22,LA GUAJIRA,1.379861111111111,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-02-23,LA GUAJIRA,1.4208333333333334,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-02-24,LA GUAJIRA,1.473611111111111,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-02-25,LA GUAJIRA,1.4590277777777778,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-02-26,LA GUAJIRA,1.457638888888889,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-02-27,LA GUAJIRA,0.8333333333333334,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-02-28,LA GUAJIRA,1.9569444444444446,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-02-29,LA GUAJIRA,2.0771428571428574,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-01,LA GUAJIRA,1.8055555555555556,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-02,LA GUAJIRA,1.776388888888889,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-03,LA GUAJIRA,1.9145833333333333,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-04,LA GUAJIRA,1.9236111111111112,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-05,LA GUAJIRA,1.6236111111111111,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-06,LA GUAJIRA,1.6423611111111112,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-07,LA GUAJIRA,1.379861111111111,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-08,LA GUAJIRA,1.7145833333333333,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-09,LA GUAJIRA,3.529166666666667,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-10,LA GUAJIRA,1.7784722222222225,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-11,LA GUAJIRA,1.7333333333333334,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-12,LA GUAJIRA,1.725,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-13,LA GUAJIRA,1.5854166666666667,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-14,LA GUAJIRA,1.7111111111111112,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-15,LA GUAJIRA,1.9124999999999999,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-16,LA GUAJIRA,1.7444444444444445,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-17,LA GUAJIRA,1.9291666666666667,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-18,LA GUAJIRA,1.9208333333333334,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-19,LA GUAJIRA,2.4527777777777775,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-20,LA GUAJIRA,2.2993055555555557,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-21,LA GUAJIRA,2.3381944444444445,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-22,LA GUAJIRA,2.0444444444444443,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-23,LA GUAJIRA,2.011304347826087,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-24,LA GUAJIRA,1.5395833333333333,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-25,LA GUAJIRA,1.6013888888888888,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-26,LA GUAJIRA,1.5680555555555555,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-27,LA GUAJIRA,1.7770833333333333,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-28,LA GUAJIRA,2.2578947368421054,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-29,LA GUAJIRA,2.4881944444444444,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-30,LA GUAJIRA,2.240972222222222,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-03-31,LA GUAJIRA,2.0347222222222223,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-01,LA GUAJIRA,1.5658333333333334,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-02,LA GUAJIRA,1.2951388888888888,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-03,LA GUAJIRA,1.4151515151515153,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-04,LA GUAJIRA,1.5859504132231406,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-05,LA GUAJIRA,1.0909722222222222,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-06,LA GUAJIRA,2.1187500000000004,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-07,LA GUAJIRA,1.4925619834710744,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-08,LA GUAJIRA,1.3562500000000002,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-09,LA GUAJIRA,1.6465277777777778,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-10,LA GUAJIRA,1.5677685950413223,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-11,LA GUAJIRA,1.6979166666666667,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-12,LA GUAJIRA,2.461111111111111,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-13,LA GUAJIRA,2.1868055555555554,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-14,LA GUAJIRA,2.1319444444444446,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-15,LA GUAJIRA,1.7661157024793388,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-16,LA GUAJIRA,1.6618055555555555,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-17,LA GUAJIRA,2.0006944444444446,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-18,LA GUAJIRA,1.7256944444444444,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-19,LA GUAJIRA,1.2993055555555555,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-20,LA GUAJIRA,1.5138888888888888,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-21,LA GUAJIRA,1.6895833333333334,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-22,LA GUAJIRA,1.4513888888888888,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-23,LA GUAJIRA,1.9263888888888887,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-24,LA GUAJIRA,2.451388888888889,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-25,LA GUAJIRA,2.1430555555555557,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-26,LA GUAJIRA,2.2625,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-27,LA GUAJIRA,1.5923611111111111,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-28,LA GUAJIRA,1.6166666666666667,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-29,LA GUAJIRA,1.8097222222222225,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-04-30,LA GUAJIRA,1.4291666666666667,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-05-01,LA GUAJIRA,1.40625,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-05-02,LA GUAJIRA,1.3888888888888888,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-05-03,LA GUAJIRA,1.1875,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-05-04,LA GUAJIRA,1.9826388888888888,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-05-05,LA GUAJIRA,1.9458333333333333,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
15035020,2020-05-06,LA GUAJIRA,1.7777777777777777,TERMOGUAJIRA  - AUT,11.2525,-73.41138889
